	id	Uniprot.accession	Protein.short.name	Gene.Names	Protein.Names	Log2.ratio.D3.D0.Repl1	Log2.ratio.D3.D0.Repl2	Log2.ratio.D6.D3.Repl1	Log2.ratio.D6.D3.Repl2	Log2.ratio.D9.D6.Repl.1	Log2.ratio.D9.D6.Repl.2	Log2.ratio.D12.D9.Repl1	Log2.ratio.D12.D9.Repl2	Log2.ratio.iPS.D12.Repl.1	Log2.ratio.iPS.D12.Repl.2	GOCC	GOBP	GOMF	KEGG	Protein.Descriptions
69	4900	Q61733	RT31	Mrps31	28S ribosomal protein S31, mitochondrial	0.36	0.639	0.269	0.135	0.008	-0.04	-0.055	0.149	-0.216	-0.645	mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part		binding;protein binding;protein domain specific binding		>sp|Q61733|RT31_MOUSE 28S ribosomal protein S31, mitochondrial OS=Mus musculus GN=Mrps31 PE=2 SV=1
70	4650	Q58DZ5	Q58DZ5	Mrps33	28S ribosomal protein S33, mitochondrial OS	1.425	0.358	0.162	0.07	0.444	-0.031	0.6	-0.046	-0.847	-1.214	mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part				>tr|Q58DZ5|Q58DZ5_MOUSE MCG4664, isoform CRA_b OS=Mus musculus GN=Mrps33 PE=2 SV=1;>sp|Q9D2R8|RT33_MOUSE 28S ribosomal protein S33, mitochondrial OS=Mus musculus GN=Mrps33 PE=2 SV=1
71	7471	Q9JIK9	RT34	Mrps34	28S ribosomal protein S34, mitochondrial	0.689	0.677	0.022	0.221	0.198	-0.779	-0.239	-0.247	-0.568	-0.237	mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part				>sp|Q9JIK9|RT34_MOUSE 28S ribosomal protein S34, mitochondrial OS=Mus musculus GN=Mrps34 PE=2 SV=1
72	5652	Q8BJZ4	RT35	Mrps35	28S ribosomal protein S35, mitochondrial	0.678	0.741	-0.071	0.522	0.349	-0.141	-0.443	0.438	-0.142	-1.151	organellar small ribosomal subunit;mitochondrion;mitochondrial small ribosomal subunit;ribosome;small ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part				>sp|Q8BJZ4|RT35_MOUSE 28S ribosomal protein S35, mitochondrial OS=Mus musculus GN=Mrps35 PE=2 SV=2
73	6891	Q9CQX8	RT36	Mrps36	28S ribosomal protein S36, mitochondrial	0.625	-0.738	-0.059	-0.154	0.194	-0.194	0.01	0.395	0.107	-0.62	organellar small ribosomal subunit;mitochondrion;mitochondrial small ribosomal subunit;ribosome;small ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part				>sp|Q9CQX8|RT36_MOUSE 28S ribosomal protein S36, mitochondrial OS=Mus musculus GN=Mrps36 PE=1 SV=1;>tr|Q9D6T9|Q9D6T9_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Mrps36 PE=4 SV=1
74	3469	P58064	RT06	Mrps6	28S ribosomal protein S6, mitochondrial	1.74	-1.692	-0.541	3.158	-1.335	0.577	-0.699	0.921	-1.063	-2.652	mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding;rRNA binding		>sp|P58064|RT06_MOUSE 28S ribosomal protein S6, mitochondrial OS=Mus musculus GN=Mrps6 PE=2 SV=3;>tr|Q3TLQ4|Q3TLQ4_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Mrps6 PE=2 SV=1
75	2915	O88986	KBL	Gcat	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	0.858	1.834	0.615	-0.035	0.313	0.53	0.273	0.294	-1.463	-1.237	mitochondrion;mitochondrial inner membrane;membrane;organelle inner membrane;organelle membrane;mitochondrial membrane;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	metabolic process;biosynthetic process	catalytic activity;binding;acyltransferase activity;glycine C-acetyltransferase activity;acetyltransferase activity;C-acyltransferase activity;C-acetyltransferase activity;transferase activity;transferase activity, transferring acyl groups;transferase activity, transferring acyl groups other than amino-acyl groups;transferase activity, transferring nitrogenous groups;vitamin binding;pyridoxal phosphate binding;cofactor binding;vitamin B6 binding	Glycine, serine and threonine metabolism	>sp|O88986|KBL_MOUSE 2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2;>tr|E9PWY6|E9PWY6_MOUSE Uncharacterized protein OS=Mus musculus GN=Gcat PE=3 SV=1
76	5170	Q6PDY2	AEDO	Ado	2-aminoethanethiol dioxygenase	-0.278	0.387	0.385	-0.044	-0.009	0.095	0.023	-0.086	-0.7	-0.743	mitochondrion;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	metabolic process;oxidation-reduction process	catalytic activity;binding;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;ion binding;cation binding;metal ion binding;cysteamine dioxygenase activity;dioxygenase activity	Taurine and hypotaurine metabolism	>sp|Q6PDY2|AEDO_MOUSE 2-aminoethanethiol dioxygenase OS=Mus musculus GN=Ado PE=1 SV=2
77	1432	Q9QXE0	HACL1	Hacl1	2-hydroxyacyl-CoA lyase 1	NA	0.869	0.75	-0.221	-1.635	0.56	0.361	0.271	-1.671	-1.554	peroxisome;microbody;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	fatty acid alpha-oxidation;organic acid metabolic process;lipid metabolic process;fatty acid metabolic process;metabolic process;catabolic process;fatty acid catabolic process;cellular process;lipid catabolic process;organic acid catabolic process;fatty acid oxidation;carboxylic acid metabolic process;lipid modification;monocarboxylic acid metabolic process;lipid oxidation;cellular ketone metabolic process;oxoacid metabolic process;cellular metabolic process;primary metabolic process;cellular lipid catabolic process;cellular catabolic process;cellular lipid metabolic process;small molecule metabolic process;small molecule catabolic process;carboxylic acid catabolic process;oxidation-reduction process;monocarboxylic acid catabolic process	magnesium ion binding;catalytic activity;binding;protein binding;lyase activity;carbon-carbon lyase activity;vitamin binding;thiamine pyrophosphate binding;identical protein binding;ion binding;cation binding;metal ion binding;cofactor binding;coenzyme binding	Peroxisome	>sp|Q9QXE0|HACL1_MOUSE 2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2;>tr|D3YZ54|D3YZ54_MOUSE Uncharacterized protein OS=Mus musculus GN=Hacl1 PE=3 SV=2;>tr|E9PWM4|E9PWM4_MOUSE Uncharacterized protein OS=Mus musculus GN=Hacl1 PE=3 SV=1
78	6990	Q9CXI0	COQ5	Coq5	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	0.036	0.568	0.279	-0.031	-0.25	0.46	0.236	0.257	-0.574	-1.162	mitochondrion;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	one-carbon metabolic process;coenzyme metabolic process;oxidoreduction coenzyme metabolic process;ubiquinone metabolic process;ubiquinone biosynthetic process;metabolic process;biosynthetic process;coenzyme biosynthetic process;cellular process;methylation;cellular ketone metabolic process;quinone cofactor metabolic process;cellular metabolic process;cellular biosynthetic process;small molecule metabolic process;quinone cofactor biosynthetic process;cofactor metabolic process;cofactor biosynthetic process	catalytic activity;methyltransferase activity;transferase activity;transferase activity, transferring one-carbon groups	Ubiquinone and other terpenoid-quinone biosynthesis	>sp|Q9CXI0|COQ5_MOUSE 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Mus musculus GN=Coq5 PE=2 SV=2
79	1302	Q3U0K8	OGFD1	Ogfod1	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1	1.574	-1.015	-1.083	-0.298	-0.385	0.241	-0.064	0.499	0.394	-0.362		metabolic process;oxidation-reduction process	catalytic activity;binding;iron ion binding;oxidoreductase activity;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen;oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;vitamin binding;carboxylic acid binding;L-ascorbic acid binding;ion binding;cation binding;metal ion binding;transition metal ion binding;dioxygenase activity		>sp|Q3U0K8|OGFD1_MOUSE 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 OS=Mus musculus GN=Ogfod1 PE=2 SV=1;>sp|Q3U0K8-3|OGFD1_MOUSE Isoform 3 of 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 OS=Mus musculus
80	4819	Q60597	ODO1	Ogdh	2-oxoglutarate dehydrogenase, mitochondrial	-0.775	-1.123	0.083	0.153	0.269	0.129	0.135	0.427	0.167	0.119	mitochondrion;mitochondrial matrix;membrane;organelle membrane;mitochondrial membrane;membrane-enclosed lumen;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;organelle lumen;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part;intracellular organelle lumen	carbohydrate metabolic process;monosaccharide metabolic process;glucose metabolic process;glucose catabolic process;alcohol metabolic process;generation of precursor metabolites and energy;glycolysis;cellular component movement;metabolic process;catabolic process;cellular process;carbohydrate catabolic process;cell migration;hexose metabolic process;hexose catabolic process;cerebellar cortex development;striatum development;hippocampus development;thalamus development;pyramidal neuron development;forebrain neuron development;forebrain cell migration;central nervous system neuron development;tangential migration from the subventricular zone to the olfactory bulb;telencephalon cell migration;developmental process;locomotion;cellular metabolic process;primary metabolic process;cellular carbohydrate metabolic process;cellular carbohydrate catabolic process;small molecule metabolic process;small molecule catabolic process;alcohol catabolic process;monosaccharide catabolic process;cell development;neuron development;anatomical structure development;cellular developmental process;cell motility;oxidation-reduction process;olfactory bulb mitral cell layer development	catalytic activity;oxoglutarate dehydrogenase (succinyl-transferring) activity;binding;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;vitamin binding;thiamine pyrophosphate binding;oxoglutarate dehydrogenase (NAD+) activity;cofactor binding;coenzyme binding	Citrate cycle (TCA cycle);Lysine degradation;Tryptophan metabolism	>sp|Q60597|ODO1_MOUSE 2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3;>sp|Q60597-3|ODO1_MOUSE Isoform 3 of 2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh;>sp|Q60597-4|ODO1_MOUSE Isoform 4 of 2-oxoglutarate
81	5103	Q6P3A8	ODBB	Bckdhb	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	1.081	-0.127	-0.668	0.148	0.494	-0.286	0.184	0.341	2.29	-0.46	mitochondrion;mitochondrial inner membrane;mitochondrial matrix;mitochondrial alpha-ketoglutarate dehydrogenase complex;membrane;organelle inner membrane;mitochondrial tricarboxylic acid cycle enzyme complex;organelle membrane;mitochondrial membrane;membrane-enclosed lumen;macromolecular complex;organelle;membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;organelle lumen;protein complex;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part;tricarboxylic acid cycle enzyme complex;dihydrolipoyl dehydrogenase complex;intracellular organelle lumen	organic acid metabolic process;cellular amino acid metabolic process;nitrogen compound metabolic process;metabolic process;catabolic process;cellular amino acid catabolic process;branched chain family amino acid metabolic process;branched chain family amino acid catabolic process;amine metabolic process;amine catabolic process;cellular process;organic acid catabolic process;carboxylic acid metabolic process;cellular nitrogen compound metabolic process;cellular ketone metabolic process;oxoacid metabolic process;cellular amine metabolic process;cellular metabolic process;primary metabolic process;cellular catabolic process;small molecule metabolic process;small molecule catabolic process;carboxylic acid catabolic process;oxidation-reduction process	catalytic activity;alpha-ketoacid dehydrogenase activity;3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors	Valine, leucine and isoleucine degradation	>sp|Q6P3A8|ODBB_MOUSE 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus GN=Bckdhb PE=2 SV=2;>sp|Q6P3A8-2|ODBB_MOUSE Isoform 2 of 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus GN=Bckdhb
82	7681	Q9Z0S1	BPNT1	Bpnt1	3(2),5-bisphosphate nucleotidase 1	0.394	-0.538	-0.546	0.08	0.028	0.029	0.47	0.287	-0.589	-0.222			magnesium ion binding;catalytic activity;inositol or phosphatidylinositol phosphatase activity;binding;nucleotidase activity;3'(2'),5'-bisphosphate nucleotidase activity;hydrolase activity;hydrolase activity, acting on ester bonds;phosphatase activity;phosphoric ester hydrolase activity;ion binding;cation binding;metal ion binding	Sulfur metabolism	>sp|Q9Z0S1|BPNT1_MOUSE 3(2),5-bisphosphate nucleotidase 1 OS=Mus musculus GN=Bpnt1 PE=1 SV=2
83	6758	Q99N96	RM01	Mrpl1	39S ribosomal protein L1, mitochondrial	0.61	0.974	0.122	0.189	0.061	0.047	-0.378	-0.009	-0.495	-0.934	organellar large ribosomal subunit;intracellular;mitochondrion;mitochondrial large ribosomal subunit;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;RNA processing;translation;nitrogen compound metabolic process;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;RNA metabolic process;protein metabolic process;cellular nitrogen compound metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process;nucleic acid metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding		>sp|Q99N96|RM01_MOUSE 39S ribosomal protein L1, mitochondrial OS=Mus musculus GN=Mrpl1 PE=1 SV=2;>tr|Q9D3F3|Q9D3F3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Mrpl1 PE=2 SV=1
84	6848	Q9CQF0	RM11	Mrpl11	39S ribosomal protein L11, mitochondrial	0.777	0.928	-0.013	-0.095	0.035	0.134	-0.077	-0.23	-1.13	-0.776	organellar large ribosomal subunit;mitochondrion;mitochondrial large ribosomal subunit;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	structural constituent of ribosome;structural molecule activity		>sp|Q9CQF0|RM11_MOUSE 39S ribosomal protein L11, mitochondrial OS=Mus musculus GN=Mrpl11 PE=2 SV=1
85	7278	Q9DB15	RM12	Mrpl12	39S ribosomal protein L12, mitochondrial	1.183	1.436	0.614	-0.225	0.113	-0.051	-0.026	-0.005	-0.519	-0.969	organellar large ribosomal subunit;intracellular;mitochondrion;mitochondrial large ribosomal subunit;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;transcription, DNA-dependent;regulation of transcription, DNA-dependent;transcription from mitochondrial promoter;translation;nitrogen compound metabolic process;organelle organization;mitochondrion organization;metabolic process;biosynthetic process;macromolecule biosynthetic process;regulation of biosynthetic process;positive regulation of biosynthetic process;positive regulation of metabolic process;cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of gene expression;cellular component organization;RNA metabolic process;regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;regulation of metabolic process;protein metabolic process;regulation of cellular metabolic process;positive regulation of cellular metabolic process;regulation of cellular biosynthetic process;positive regulation of cellular biosynthetic process;RNA biosynthetic process;cellular nitrogen compound metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process;positive regulation of transcription, DNA-dependent;positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;positive regulation of biological process;positive regulation of cellular process;regulation of biological process;regulation of cellular process;regulation of nitrogen compound metabolic process;positive regulation of nitrogen compound metabolic process;regulation of RNA metabolic process;positive regulation of RNA metabolic process;regulation of macromolecule metabolic process;biological regulation;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular component organization at cellular level;regulation of primary metabolic process;nucleic acid metabolic process;regulation of cellular macromolecule biosynthetic process	structural constituent of ribosome;structural molecule activity		>sp|Q9DB15|RM12_MOUSE 39S ribosomal protein L12, mitochondrial OS=Mus musculus GN=Mrpl12 PE=1 SV=2
86	7129	Q9D1P0	RM13	Mrpl13	39S ribosomal protein L13, mitochondrial	0.969	0.365	-0.227	0.561	-0.027	-0.517	-0.224	0.29	-0.547	-0.665	organellar large ribosomal subunit;mitochondrion;mitochondrial large ribosomal subunit;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	structural constituent of ribosome;structural molecule activity	Ribosome	>sp|Q9D1P0|RM13_MOUSE 39S ribosomal protein L13, mitochondrial OS=Mus musculus GN=Mrpl13 PE=2 SV=1
87	6786	Q9CPR5	RM15	Mrpl15	39S ribosomal protein L15, mitochondrial	0.413	0.569	0.372	-0.094	0.148	-0.136	-0.274	-0.076	-0.463	-0.236	mitochondrion;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;cytoplasmic part;intracellular organelle part;cell part	mitochondrial genome maintenance;translation;organelle organization;mitochondrion organization;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular component organization;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular component organization at cellular level	structural constituent of ribosome;structural molecule activity		>sp|Q9CPR5|RM15_MOUSE 39S ribosomal protein L15, mitochondrial OS=Mus musculus GN=Mrpl15 PE=1 SV=1;>sp|Q9CPR5-2|RM15_MOUSE Isoform 2 of 39S ribosomal protein L15, mitochondrial OS=Mus musculus GN=Mrpl15
88	6756	Q99N93	RM16	Mrpl16	39S ribosomal protein L16, mitochondrial	1.056	0.607	0.216	0.055	0.108	-0.148	-0.01	0.025	-0.832	-0.874	organellar large ribosomal subunit;mitochondrion;mitochondrial large ribosomal subunit;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding;rRNA binding		>sp|Q99N93|RM16_MOUSE 39S ribosomal protein L16, mitochondrial OS=Mus musculus GN=Mrpl16 PE=2 SV=1;>tr|Q9CSU4|Q9CSU4_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Mrpl16 PE=2 SV=1
89	7241	Q9D8P4	RM17	Mrpl17	39S ribosomal protein L17, mitochondrial	NA	0.285	0.636	0.402	-0.042	-1.282	-0.691	0.074	NA	-0.988	intracellular;mitochondrion;mitochondrial inner membrane;ribosome;membrane;organelle inner membrane;ribonucleoprotein complex;organelle membrane;mitochondrial membrane;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;mitochondrial part;cytoplasmic part;intracellular organelle part;cell part	mitochondrial genome maintenance;translation;organelle organization;mitochondrion organization;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;cellular component organization;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular component organization at cellular level	structural constituent of ribosome;structural molecule activity;binding;protein binding;protein domain specific binding		>sp|Q9D8P4|RM17_MOUSE 39S ribosomal protein L17, mitochondrial OS=Mus musculus GN=Mrpl17 PE=1 SV=1;>sp|Q9D8P4-2|RM17_MOUSE Isoform 2 of 39S ribosomal protein L17, mitochondrial OS=Mus musculus GN=Mrpl17
90	6863	Q9CQL5	RM18	Mrpl18	39S ribosomal protein L18, mitochondrial	NA	0.395	-0.156	-0.15	NA	0.09	-0.814	0.012	-0.99	-0.769	intracellular;mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	structural constituent of ribosome;structural molecule activity		>sp|Q9CQL5|RM18_MOUSE 39S ribosomal protein L18, mitochondrial OS=Mus musculus GN=Mrpl18 PE=2 SV=1
91	1888	E9PYC4	E9PYC4	Mrpl19	39S ribosomal protein L19, mitochondrial OS	1.454	0.157	-0.347	0.562	-0.168	0.131	0.001	0.049	-0.348	-0.341	intracellular;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;non-membrane-bounded organelle;intracellular organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part;nucleus;mitochondrion;membrane;organelle membrane;nuclear membrane;membrane-bounded organelle;intracellular membrane-bounded organelle;organelle part;nuclear part;intracellular organelle part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	structural constituent of ribosome;structural molecule activity		>tr|E9PYC4|E9PYC4_MOUSE Uncharacterized protein OS=Mus musculus GN=Mrpl19 PE=4 SV=1;>sp|Q9D338|RM19_MOUSE 39S ribosomal protein L19, mitochondrial OS=Mus musculus GN=Mrpl19 PE=2 SV=1
92	716	A8Y5G1	A8Y5G1	Mrpl21	39S ribosomal protein L21, mitochondrial OS	2.058	0.347	-0.262	0.139	0.2	-0.229	0.106	-0.044	-0.271	-0.641	intracellular;mitochondrion;ribosome;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular part;cytoplasmic part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity;binding		>tr|A8Y5G1|A8Y5G1_MOUSE MCG3895, isoform CRA_a OS=Mus musculus GN=Mrpl21 PE=4 SV=1;>sp|Q9D1N9|RM21_MOUSE 39S ribosomal protein L21, mitochondrial OS=Mus musculus GN=Mrpl21 PE=2 SV=1;>tr|A8Y5G2|A8Y5G2_MOUSE MCG3895, isoform CRA_b OS=Mus musculus GN=Mrpl21 P
93	5775	Q8BU88	RM22	Mrpl22	39S ribosomal protein L22, mitochondrial	-0.056	0.412	0.392	-0.086	-0.046	0.168	0.027	-0.151	-1.501	-0.436	intracellular;mitochondrion;ribosome;large ribosomal subunit;ribonucleoprotein complex;macromolecular complex;organelle;membrane-bounded organelle;non-membrane-bounded organelle;intracellular organelle;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;organelle part;intracellular part;cytoplasmic part;intracellular organelle part;cell part	translation;metabolic process;biosynthetic process;macromolecule biosynthetic process;cellular process;protein metabolic process;cellular macromolecule biosynthetic process;macromolecule metabolic process;cellular metabolic process;primary metabolic process;cellular biosynthetic process;cellular macromolecule metabolic process;cellular protein metabolic process	structural constituent of ribosome;structural molecule activity		>sp|Q8BU88|RM22_MOUSE 39S ribosomal protein L22, mitochondrial OS=Mus musculus GN=Mrpl22 PE=2 SV=1
